timestamp,cpu_percent,memory_percent,load_avg,active_connections,actual_score
2025-04-17 13:37:31,42.5,61.2,1.29931640625,146,86.0502734375
2025-04-17 13:37:31,42.5,61.2,1.29931640625,144,82.3782734375
2025-04-17 13:37:31,42.5,61.2,1.29931640625,146,74.008205078125
2025-04-17 13:37:32,24.1,61.1,1.27490234375,142,83.6720390625
2025-04-17 13:37:32,23.8,61.1,1.27490234375,142,85.081529296875
2025-04-17 13:37:32,24.3,61.1,1.27490234375,146,88.022529296875
2025-04-17 13:37:32,24.3,61.1,1.27490234375,148,83.162529296875
2025-04-17 13:37:32,30.3,61.1,1.27490234375,146,77.696529296875
2025-04-17 13:37:32,30.3,61.1,1.27490234375,146,81.2350390625
2025-04-17 13:37:32,30.3,61.1,1.27490234375,146,84.392529296875
2025-04-17 13:37:32,30.3,61.1,1.27490234375,148,86.6840390625
2025-04-17 13:37:32,30.3,61.1,1.27490234375,150,78.918529296875
2025-04-17 13:37:33,30.3,61.1,1.27490234375,150,79.4020390625
2025-04-17 13:37:33,30.3,61.1,1.27490234375,152,82.53452929687501
2025-04-17 13:37:33,48.1,61.3,1.27490234375,148,74.766529296875
2025-04-17 13:37:33,49.7,61.4,1.27490234375,148,82.2400390625
2025-04-17 13:37:33,53.5,60.5,1.27490234375,143,81.4350390625
2025-04-17 13:37:33,53.3,60.5,1.27490234375,145,70.7950390625
2025-04-17 13:37:33,52.9,60.5,1.27490234375,147,75.72752929687499
2025-04-17 13:37:34,46.6,60.4,1.27490234375,145,85.1660390625
2025-04-17 13:37:34,43.6,60.5,1.27490234375,145,81.0900390625
2025-04-17 13:37:34,41.4,60.5,1.27490234375,147,76.307529296875
2025-04-17 13:37:34,41.3,60.5,1.27490234375,147,80.467529296875
2025-04-17 13:37:34,38.8,60.5,1.27490234375,149,77.692529296875
2025-04-17 13:37:34,33.7,60.4,1.27490234375,151,82.48203906250001
2025-04-17 13:37:35,33.7,60.4,1.27490234375,141,80.3200390625
2025-04-17 13:37:35,33.7,60.4,1.27490234375,143,78.8580390625
2025-04-17 13:37:35,37.2,60.4,1.27490234375,145,82.51352929687499
2025-04-17 13:37:35,39.0,60.4,1.27490234375,147,74.629529296875
2025-04-17 13:37:35,39.0,60.2,1.27490234375,145,77.55603906249999
2025-04-17 13:37:35,39.0,60.2,1.27490234375,147,82.18552929687499
2025-04-17 13:37:35,39.0,60.2,1.27490234375,149,81.26952929687499
2025-04-17 13:37:36,39.0,60.2,1.27490234375,147,81.1420390625
2025-04-17 13:37:36,39.0,60.2,1.27490234375,147,79.777529296875
2025-04-17 13:37:36,39.0,60.2,1.27490234375,149,75.877529296875
2025-04-17 13:37:36,31.7,60.2,1.27490234375,149,78.5420390625
2025-04-17 13:37:36,30.0,60.2,1.27490234375,153,79.179529296875
